exporter,importer,trade_weight
AGO,ECU,0.00011896712311805289
AGO,EGY,1.204273151636251e-05
AGO,ERI,3.106650019211836e-09
AGO,ESP,0.003257839253618598
AGO,EST,4.3310712289762286e-08
AGO,ETH,3.025474124525914e-07
AGO,FIN,8.07592043731441e-06
AGO,FJI,2.5660810233510674e-09
AGO,FRA,0.004312026040369988
AGO,FSM,3.3677448442125873e-10
AGO,GAB,1.0243883997176097e-05
AGO,GBR,0.0010637610007879666
AGO,GEO,6.42152000804263e-07
AGO,GHA,5.97561416187615e-05
AGO,GIB,1.6189216157363004e-06
AGO,GIN,2.86538419642122e-05
AGO,GMB,3.664995626501486e-07
AGO,GNB,5.038363865962865e-07
AGO,GNQ,6.6157054370875825e-06
AGO,GRC,5.5887910158877726e-06
AGO,GRD,2.327149527180608e-09
AGO,GRL,2.143626353085877e-09
AGO,GTM,2.8505599483036857e-06
AGO,GUY,4.8879600028220335e-08
AGO,HKG,0.00023690747735220192
AGO,HND,2.7000510484487357e-06
AGO,HRV,5.894823814512301e-08
AGO,HUN,2.0024938788878866e-07
AGO,IDN,0.0005312959890174469
AGO,IND,0.010432938191934898
AGO,IRL,2.4491298660111948e-05
AGO,IRN,2.532903601230113e-08
AGO,IRQ,1.2718398139674996e-06
AGO,ISL,3.4685828189470194e-05
AGO,ISR,0.0003868751074780145
AGO,ITA,0.0014642566803088645
AGO,JAM,8.82500508502539e-09
AGO,JOR,9.607779479123148e-05
AGO,JPN,0.0005728572779453403
AGO,KAZ,5.602794748533752e-07
AGO,KEN,3.535270662699863e-06
AGO,KGZ,6.782789475562993e-09
AGO,KHM,4.200485976646143e-06
AGO,KNA,1.9676711449331972e-10
AGO,KOR,0.0006889677634434183
AGO,KWT,9.00589955768334e-05
AGO,LAO,3.332818681390023e-07
AGO,LBN,1.5902825035222223e-06
AGO,LBR,2.2800707246482988e-06
AGO,LBY,7.416916909813368e-07
AGO,LKA,1.8834917137640238e-07
AGO,LSO,8.619534809698712e-08
AGO,LTU,1.5128828266926909e-05
AGO,LUX,1.3646672616951192e-07
AGO,LVA,1.6862563313780398e-07
AGO,MAC,1.1343795510911567e-05
AGO,MAR,2.17432921251448e-05
AGO,MDA,2.0319610156109184e-07
AGO,MDG,1.920122560915035e-06
AGO,MEX,3.480268076435477e-05
AGO,MHL,1.2788350740868857e-05
AGO,MKD,4.0098867543955944e-08
AGO,MLI,2.326423543019167e-06
AGO,MLT,5.444154270254848e-06
AGO,MMR,1.327194313390207e-05
AGO,MNE,2.276898233325391e-08
AGO,MNP,2.741306463359336e-07
AGO,MOZ,8.635299450353448e-06
AGO,MRT,2.7787030940641087e-06
AGO,MUS,6.729557567429059e-07
AGO,MWI,8.382985420903344e-07
AGO,MYS,0.00047049115777419103
AGO,MYT,2.3383122769451328e-08
AGO,NAM,9.062037634389257e-05
AGO,NCL,1.1980090086266347e-07
AGO,NER,2.495007011775294e-07
AGO,NGA,0.00014246532209727142
AGO,NIC,1.6706955122631917e-06
AGO,NIU,3.554673602981241e-08
AGO,NLD,0.00197368518194196
AGO,NOR,0.0001156243479728718
AGO,NPL,1.6849319373381808e-07
AGO,NZL,4.8790676428401246e-08
AGO,OMN,1.2063385011416049e-06
AGO,PAK,1.0216505697886049e-05
